Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
RegressionWeb,Chrome 108.0.0.0,,,2022-12-20 23:58:04,2022-12-21 00:15:03,16m - 58.415s,FAILED
,,,,,,,
Test Cases/BA001_Login,Chrome 108.0.0.0,,,2022-12-20 23:58:05,2022-12-20 23:58:21,16.707s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2022-12-20 23:58:05,2022-12-20 23:58:08,3.248s,PASSED
"navigateToUrl(""https://tes-capstone-website.vercel.app/admin/login"")",Chrome 108.0.0.0,,,2022-12-20 23:58:08,2022-12-20 23:58:15,7.048s,PASSED
"setText(findTestObject(""Auth/Email""), ""rnd.rindhu@gmail.com"")",Chrome 108.0.0.0,,,2022-12-20 23:58:15,2022-12-20 23:58:16,1.031s,PASSED
"setText(findTestObject(""Auth/Password""), ""@Password123"")",Chrome 108.0.0.0,,,2022-12-20 23:58:16,2022-12-20 23:58:17,0.906s,PASSED
"click(findTestObject(""Auth/LoginButton""))",Chrome 108.0.0.0,,,2022-12-20 23:58:17,2022-12-20 23:58:18,0.403s,PASSED
"verifyElementPresent(findTestObject(""Auth/ValidateonHomePage""), 0)",Chrome 108.0.0.0,,,2022-12-20 23:58:18,2022-12-20 23:58:21,2.965s,PASSED
closeBrowser(),Chrome 108.0.0.0,,,2022-12-20 23:58:21,2022-12-20 23:58:21,0.675s,PASSED
,,,,,,,
Test Cases/BA002_LogEmPass,Chrome 108.0.0.0,,,2022-12-20 23:58:21,2022-12-20 23:58:31,9.404s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2022-12-20 23:58:22,2022-12-20 23:58:23,1.356s,PASSED
"navigateToUrl(""https://tes-capstone-website.vercel.app/admin/login"")",Chrome 108.0.0.0,,,2022-12-20 23:58:23,2022-12-20 23:58:27,3.748s,PASSED
"setText(findTestObject(""Auth/Email""), ""rindhaay00@gmail.com"")",Chrome 108.0.0.0,,,2022-12-20 23:58:27,2022-12-20 23:58:28,1.094s,PASSED
"setText(findTestObject(""Auth/Password""), ""@Password125"")",Chrome 108.0.0.0,,,2022-12-20 23:58:28,2022-12-20 23:58:29,0.874s,PASSED
"click(findTestObject(""Auth/LoginButton""))",Chrome 108.0.0.0,,,2022-12-20 23:58:29,2022-12-20 23:58:29,0.465s,PASSED
"verifyElementPresent(findTestObject(""Auth/Peringatan""), 0)",Chrome 108.0.0.0,,,2022-12-20 23:58:29,2022-12-20 23:58:30,0.657s,PASSED
closeBrowser(),Chrome 108.0.0.0,,,2022-12-20 23:58:30,2022-12-20 23:58:31,0.705s,PASSED
,,,,,,,
Test Cases/BA003_LogEm,Chrome 108.0.0.0,,,2022-12-20 23:58:31,2022-12-20 23:58:40,9.090s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2022-12-20 23:58:31,2022-12-20 23:58:32,1.202s,PASSED
"navigateToUrl(""https://tes-capstone-website.vercel.app/admin/login"")",Chrome 108.0.0.0,,,2022-12-20 23:58:32,2022-12-20 23:58:36,3.519s,PASSED
"setText(findTestObject(""Auth/Email""), ""rindhaay00@gmail.com"")",Chrome 108.0.0.0,,,2022-12-20 23:58:36,2022-12-20 23:58:37,1.121s,PASSED
"setText(findTestObject(""Auth/Password""), ""@Password123"")",Chrome 108.0.0.0,,,2022-12-20 23:58:37,2022-12-20 23:58:38,0.935s,PASSED
